"","ship","survey","event_id","sample_id","specimen_id","measurement_type","measurement_value","device_id","species_code"
"1",157,201807,2,25,302,"fork_length","041.0",25,21740
"2",157,201807,2,25,302,"organism_weight","0.500",20,21740
"3",157,201807,2,25,303,"fork_length","039.9",24,21740
"4",157,201807,2,25,304,"fork_length","038.1",24,21740
"5",157,201807,2,25,305,"fork_length","036.0",24,21740
"6",157,201807,2,25,306,"fork_length","042.5",24,21740
"7",157,201807,2,25,307,"fork_length","039.8",24,21740
"8",157,201807,2,25,308,"fork_length","040.8",25,21740
"9",157,201807,2,25,308,"organism_weight","0.446",20,21740
"10",157,201807,2,25,309,"fork_length","052.2",24,21740
"11",157,201807,2,25,310,"fork_length","046.2",24,21740
"12",157,201807,2,25,311,"fork_length","043.0",24,21740
"13",157,201807,2,25,312,"fork_length","043.1",24,21740
"14",157,201807,2,25,313,"fork_length","039.2",25,21740
"15",157,201807,2,25,313,"organism_weight","0.442",20,21740
"16",157,201807,2,25,314,"fork_length","039.3",24,21740
"17",157,201807,2,25,315,"fork_length","040.7",24,21740
"18",157,201807,2,25,316,"fork_length","050.8",25,21740
"19",157,201807,2,25,316,"organism_weight","0.862",20,21740
"20",157,201807,2,25,317,"fork_length","043.6",24,21740
"21",157,201807,2,25,318,"fork_length","045.3",24,21740
"22",157,201807,2,25,319,"fork_length","043.8",24,21740
"23",157,201807,2,25,320,"fork_length","037.4",24,21740
"24",157,201807,2,25,321,"fork_length","043.7",24,21740
"25",157,201807,2,25,322,"fork_length","044.6",24,21740
"26",157,201807,2,25,323,"fork_length","039.9",24,21740
"27",157,201807,2,25,324,"fork_length","041.4",24,21740
"28",157,201807,2,25,325,"fork_length","043.4",24,21740
"29",157,201807,2,25,326,"fork_length","047.0",24,21740
"30",157,201807,2,25,327,"fork_length","037.1",24,21740
"31",157,201807,2,25,328,"fork_length","042.0",24,21740
"32",157,201807,2,25,329,"fork_length","058.6",24,21740
"33",157,201807,2,25,330,"fork_length","039.9",24,21740
"34",157,201807,2,25,331,"fork_length","040.1",24,21740
"35",157,201807,2,25,332,"fork_length","048.1",25,21740
"36",157,201807,2,25,332,"organism_weight","0.714",20,21740
"37",157,201807,2,25,333,"fork_length","051.7",24,21740
"38",157,201807,2,25,334,"fork_length","041.5",24,21740
"39",157,201807,2,25,335,"fork_length","041.6",24,21740
"40",157,201807,2,25,336,"fork_length","039.2",24,21740
"41",157,201807,2,25,337,"fork_length","041.0",24,21740
"42",157,201807,1,5,28,"fork_length","032.3",25,10210
"43",157,201807,1,5,28,"organism_weight","0.354",20,10210
"44",157,201807,1,5,29,"fork_length","032.4",25,10210
"45",157,201807,1,5,29,"organism_weight","0.440",20,10210
"46",157,201807,1,5,32,"fork_length","033.7",25,10210
