"","hauljoin","cruise","vessel","haul","specimenid","species_code","length"
"1",-4466,200801,94,1,1,30052,450
"2",-4466,200801,94,1,1,30060,380
"3",-4466,200801,94,1,2,30060,350
"4",-4466,200801,94,1,3,30060,370
"5",-4466,200801,94,1,4,30060,430
"6",-4466,200801,94,1,5,30060,340
"7",-4466,200801,94,1,6,30060,330
"8",-4466,200801,94,1,7,30060,300
"9",-4466,200801,94,1,8,30060,360
"10",-4466,200801,94,1,9,30060,370
"11",-4466,200801,94,1,10,30060,380
"12",-4466,200801,94,1,11,30060,400
"13",-4466,200801,94,1,12,30060,350
"14",-4466,200801,94,1,13,30060,340
"15",-4466,200801,94,1,1,21420,730
"16",-4468,200801,94,3,1,10115,710
"17",-4468,200801,94,3,2,21420,580
"18",-4468,200801,94,3,3,21420,500
"19",-4468,200801,94,3,14,30060,410
"20",-4468,200801,94,3,15,30060,330
"21",-4468,200801,94,3,16,30060,420
"22",-4468,200801,94,3,17,30060,430
"23",-4468,200801,94,3,18,30060,360
"24",-4468,200801,94,3,19,30060,400
"25",-4468,200801,94,3,20,30060,410
"26",-4468,200801,94,3,1,21341,190
"27",-4468,200801,94,3,0,320,1170
"28",-4469,200801,94,4,0,320,880
"29",-4469,200801,94,4,2,10115,710
"30",-4469,200801,94,4,3,10115,650
"31",-4469,200801,94,4,2,21341,230
"32",-4469,200801,94,4,3,21341,110
"33",-4470,200801,94,5,0,78454,60
"34",-4470,200801,94,5,0,78454,50
"35",-4470,200801,94,5,0,78454,60
"36",-4470,200801,94,5,0,78454,90
"37",-4470,200801,94,5,0,78012,110
"38",-4470,200801,94,5,0,79252,150
"39",-4470,200801,94,5,0,79252,170
"40",-4470,200801,94,5,0,78030,120
"41",-4470,200801,94,5,1,21230,350
"42",-4470,200801,94,5,2,21230,270
"43",-4470,200801,94,5,3,21230,260
"44",-4470,200801,94,5,4,21230,320
"45",-4470,200801,94,5,5,21230,250
"46",-4470,200801,94,5,6,21230,210
"47",-4470,200801,94,5,4,10115,710
"48",-4470,200801,94,5,5,10115,680
"49",-4470,200801,94,5,6,10115,720
"50",-4470,200801,94,5,7,10115,690
"51",-4470,200801,94,5,8,10115,680
"52",-4470,200801,94,5,9,10115,670
"53",-4470,200801,94,5,10,10115,880
"54",-4470,200801,94,5,11,10115,860
"55",-4470,200801,94,5,12,10115,850
"56",-4470,200801,94,5,13,10115,830
"57",-4470,200801,94,5,14,10115,920
"58",-4470,200801,94,5,15,10115,850
"59",-4470,200801,94,5,16,10115,880
"60",-4470,200801,94,5,17,10115,840
"61",-4470,200801,94,5,18,10115,830
"62",-4470,200801,94,5,19,10115,870
"63",-4470,200801,94,5,20,10115,840
"64",-4470,200801,94,5,21,10115,870
"65",-4471,200801,94,6,19,24112,600
"66",-4471,200801,94,6,20,24112,630
"67",-4471,200801,94,6,21,24112,650
"68",-4471,200801,94,6,22,24112,590
"69",-4471,200801,94,6,23,24112,560
"70",-4471,200801,94,6,24,24112,580
"71",-4471,200801,94,6,4,21341,100
"72",-4471,200801,94,6,5,21341,100
"73",-4471,200801,94,6,2,30052,460
"74",-4471,200801,94,6,3,30052,490
"75",-4471,200801,94,6,0,24195,240
"76",-4471,200801,94,6,0,24195,250
"77",-4471,200801,94,6,0,24195,260
"78",-4471,200801,94,6,0,24195,230
"79",-4471,200801,94,6,0,24195,270
"80",-4471,200801,94,6,0,24195,250
"81",-4471,200801,94,6,0,24195,250
"82",-4471,200801,94,6,0,24195,250
"83",-4471,200801,94,6,0,24195,240
"84",-4471,200801,94,6,0,24195,210
"85",-4471,200801,94,6,0,24195,250
"86",-4471,200801,94,6,0,24195,280
"87",-4471,200801,94,6,0,24195,250
"88",-4471,200801,94,6,0,24195,270
