"","hauljoin","cruise","vessel","haul","specimenid","species_code","length"
"1",-21179,202201,176,4,1,21720,600
"2",-21179,202201,176,4,2,21720,600
"3",-21179,202201,176,4,3,21720,820
"4",-21179,202201,176,4,1,21740,500
"5",-21179,202201,176,4,2,21740,480
"6",-21179,202201,176,4,3,21740,510
"7",-21179,202201,176,4,4,21740,570
"8",-21179,202201,176,4,5,21740,610
"9",-21179,202201,176,4,6,21740,540
"10",-21179,202201,176,4,7,21740,450
"11",-21179,202201,176,4,8,21740,550
"12",-21179,202201,176,4,9,21740,600
"13",-21179,202201,176,4,10,21740,610
"14",-21179,202201,176,4,1,21921,500
"15",-21179,202201,176,4,1,30060,350
"16",-21179,202201,176,4,1,10261,290
"17",-21179,202201,176,4,2,10261,330
"18",-21179,202201,176,4,1,10262,350
"19",-21179,202201,176,4,2,10262,350
"20",-21179,202201,176,4,1,10110,340
"21",-21179,202201,176,4,2,10110,430
"22",-21179,202201,176,4,3,10110,500
"23",-21179,202201,176,4,1,30152,410
"24",-21179,202201,176,4,1,30420,380
"25",-21180,202201,176,5,4,21720,390
"26",-21180,202201,176,5,5,21720,590
"27",-21180,202201,176,5,6,21720,640
"28",-21180,202201,176,5,11,21740,570
"29",-21180,202201,176,5,12,21740,440
"30",-21180,202201,176,5,13,21740,420
"31",-21180,202201,176,5,14,21740,430
"32",-21180,202201,176,5,15,21740,620
"33",-21180,202201,176,5,3,10262,380
"34",-21180,202201,176,5,4,10262,400
"35",-21180,202201,176,5,5,10262,330
"36",-21180,202201,176,5,6,10262,320
"37",-21180,202201,176,5,7,10262,330
"38",-21180,202201,176,5,8,10262,350
"39",-21180,202201,176,5,9,10262,340
"40",-21180,202201,176,5,10,10262,340
"41",-21180,202201,176,5,11,10262,300
"42",-21180,202201,176,5,12,10262,250
"43",-21180,202201,176,5,3,10261,300
"44",-21180,202201,176,5,4,10261,410
"45",-21180,202201,176,5,4,10110,360
"46",-21180,202201,176,5,5,10110,280
"47",-21180,202201,176,5,6,10110,430
"48",-21181,202201,176,6,3,21921,410
"49",-21181,202201,176,6,2,21921,390
"50",-21181,202201,176,6,4,21921,440
"51",-21181,202201,176,6,5,21921,400
"52",-21181,202201,176,6,8,21921,390
"53",-21181,202201,176,6,9,21921,410
"54",-21181,202201,176,6,10,21921,380
"55",-21181,202201,176,6,11,21921,390
"56",-21181,202201,176,6,7,21720,630
"57",-21181,202201,176,6,8,21720,380
"58",-21181,202201,176,6,9,21720,600
"59",-21181,202201,176,6,16,21740,540
"60",-21181,202201,176,6,17,21740,410
"61",-21181,202201,176,6,18,21740,480
"62",-21181,202201,176,6,19,21740,410
"63",-21181,202201,176,6,20,21740,410
"64",-21181,202201,176,6,21,21740,380
"65",-21181,202201,176,6,22,21740,430
"66",-21181,202201,176,6,23,21740,420
