"","hauljoin","cruise","vessel","haul","specimenid","species_code","length"
"1",-4952,200901,89,2,34,10261,360
"2",-4952,200901,89,2,35,10261,350
"3",-4952,200901,89,2,36,10261,250
"4",-4952,200901,89,2,1,21720,680
"5",-4952,200901,89,2,2,21720,900
"6",-4952,200901,89,2,3,21720,630
"7",-4952,200901,89,2,4,21720,170
"8",-4952,200901,89,2,5,21720,140
"9",-4952,200901,89,2,6,21720,150
"10",-4952,200901,89,2,7,21720,160
"11",-4952,200901,89,2,8,21720,710
"12",-4952,200901,89,2,9,21720,930
"13",-4952,200901,89,2,10,21720,960
"14",-4952,200901,89,2,11,21720,800
"15",-4952,200901,89,2,12,21720,730
"16",-4952,200901,89,2,13,21720,710
"17",-4952,200901,89,2,14,21720,700
"18",-4952,200901,89,2,15,21720,1070
"19",-4952,200901,89,2,16,21720,150
"20",-4952,200901,89,2,17,21720,160
"21",-4952,200901,89,2,18,21720,140
"22",-4952,200901,89,2,19,21720,130
"23",-4952,200901,89,2,20,21720,120
"24",-4952,200901,89,2,21,21720,140
"25",-4952,200901,89,2,1,471,1010
"26",-4952,200901,89,2,2,471,810
"27",-4952,200901,89,2,1,10220,400
"28",-4952,200901,89,2,2,10220,530
"29",-4952,200901,89,2,3,10220,430
"30",-4952,200901,89,2,4,10220,580
"31",-4952,200901,89,2,5,10220,530
"32",-4952,200901,89,2,6,10220,430
"33",-4952,200901,89,2,7,10220,450
"34",-4952,200901,89,2,8,10220,480
"35",-4952,200901,89,2,9,10220,500
"36",-4952,200901,89,2,10,10220,550
"37",-4952,200901,89,2,11,10220,460
"38",-4952,200901,89,2,12,10220,370
"39",-4952,200901,89,2,13,10220,390
"40",-4952,200901,89,2,14,10220,430
"41",-4952,200901,89,2,15,10220,380
"42",-4952,200901,89,2,16,10220,400
"43",-4952,200901,89,2,17,10220,440
"44",-4952,200901,89,2,18,10220,380
"45",-4952,200901,89,2,19,10220,360
"46",-4952,200901,89,2,20,10220,370
"47",-4952,200901,89,2,21,10220,430
"48",-4952,200901,89,2,22,10220,410
"49",-4952,200901,89,2,23,10220,410
"50",-4952,200901,89,2,24,10220,340
"51",-4952,200901,89,2,25,10220,460
"52",-4952,200901,89,2,26,10220,420
"53",-4952,200901,89,2,27,10220,390
"54",-4952,200901,89,2,28,10220,440
"55",-4952,200901,89,2,29,10220,450
"56",-4952,200901,89,2,30,10220,360
"57",-4952,200901,89,2,31,10220,420
"58",-4952,200901,89,2,32,10220,450
"59",-4952,200901,89,2,1,10261,390
"60",-4952,200901,89,2,2,10261,360
"61",-4952,200901,89,2,3,10261,350
"62",-4952,200901,89,2,4,10261,370
"63",-4952,200901,89,2,5,10261,400
"64",-4952,200901,89,2,6,10261,330
"65",-4952,200901,89,2,7,10261,320
"66",-4952,200901,89,2,9,10261,190
"67",-4952,200901,89,2,10,10261,180
"68",-4952,200901,89,2,11,10261,310
"69",-4952,200901,89,2,12,10261,440
"70",-4952,200901,89,2,13,10261,300
"71",-4952,200901,89,2,14,10261,170
"72",-4952,200901,89,2,15,10261,420
"73",-4952,200901,89,2,16,10261,340
"74",-4952,200901,89,2,17,10261,290
"75",-4952,200901,89,2,18,10261,240
"76",-4952,200901,89,2,19,10261,410
"77",-4952,200901,89,2,20,10261,270
"78",-4952,200901,89,2,21,10261,280
"79",-4952,200901,89,2,22,10261,230
"80",-4952,200901,89,2,23,10261,110
"81",-4952,200901,89,2,24,10261,140
