"","survey","ship","data_set_id","analysis_id","specimen_id","event_id","class","species_code","sample_correction","length_key","partition","primary_length","ts_length","catch_sampling_expansion","user_defined_expansion","sample_correction_scalar","sigma_bs_re_75m","ts_relationship","external","haul_weight","is_depth_dependent_ts","scientific_name","common_name","w"
"1",201801,157,1,5,2738,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",49,49,1.1863238802,1,1.00000000007,0.000603103932205,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388028304
"2",201801,157,1,5,2739,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",55,55,1.1863238802,1,1,0.000759845645532,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.1863238802
"3",201801,157,1,5,2740,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",50.5,50.5,1.1863238802,1,1.00000000003,0.000640593837196,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388023559
"4",201801,157,1,5,2741,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",46.7,46.7,1.1863238802,1,1.00000000031,0.000547814799961,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388056776
"5",201801,157,1,5,2742,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",49.1,49.1,1.1863238802,1,1.00000000007,0.000605568092795,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388028304
"6",201801,157,1,5,2743,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",49.6,49.6,1.1863238802,1,1.00000000005,0.000617964252334,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388025932
"7",201801,157,1,5,2744,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",43.3,43.3,1.1863238802,1,1.00000000257,0.000470951075157,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388324885
"8",201801,157,1,5,2745,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",43.8,43.8,1.1863238802,1,1.00000000188,0.000481890340567,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388243029
"9",201801,157,1,5,2746,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",42.6,42.6,1.1863238802,1,1.00000000397,0.000455847102045,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388490971
"10",201801,157,1,5,2747,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",44.7,44.7,1.1863238802,1,1.00000000107,0.000501897515993,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388146937
"11",201801,157,1,5,2748,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",45.6,45.6,1.1863238802,1,1.00000000061,0.000522311617022,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388092366
"12",201801,157,1,5,2749,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",43.7,43.7,1.1863238802,1,1.000000002,0.000479692439939,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388257265
"13",201801,157,1,5,2750,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",41.8,41.8,1.1863238802,1,1.00000000653,0.000438886844859,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.1863238879467
"14",201801,157,1,5,2751,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",46.8,46.8,1.1863238802,1,1.00000000029,0.000550163413775,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388054403
"15",201801,157,1,5,2752,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",49.6,49.6,1.1863238802,1,1.00000000005,0.000617964252334,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388025932
"16",201801,157,1,5,2753,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",43.4,43.4,1.1863238802,1,1.00000000241,0.000473128880693,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388305904
"17",201801,157,1,5,2754,8,"PK1_FILTERED",21740,"dyson_shelikof_pocket_net_2018_only",3,"Codend",44.6,44.6,1.1863238802,1,1.00000000114,0.00049965440141,"standard_pollock","N",1,0,"Gadus chalcogrammus","walleye pollock",1.18632388155241
