"","hauljoin","cruise","vessel","haul","specimenid","species_code","length"
"1",-23164,202401,162,22,13,10210,350
"2",-23164,202401,162,22,14,10210,320
"3",-23164,202401,162,22,15,10210,350
"4",-23164,202401,162,22,10,21740,590
"5",-23164,202401,162,22,11,21740,600
"6",-23164,202401,162,22,12,21740,560
"7",-23164,202401,162,22,13,21720,890
"8",-23164,202401,162,22,14,21720,530
"9",-23164,202401,162,22,15,21720,790
"10",-23164,202401,162,22,16,21720,190
"11",-23164,202401,162,22,17,10261,350
"12",-23164,202401,162,22,18,10261,300
"13",-23164,202401,162,22,19,10261,240
"14",-23164,202401,162,22,20,10261,170
"15",-23166,202401,162,24,21,10261,210
"16",-23166,202401,162,24,22,10261,260
"17",-23166,202401,162,24,23,10261,230
"18",-23166,202401,162,24,24,10261,190
"19",-23166,202401,162,24,16,10210,240
"20",-23166,202401,162,24,17,10210,360
"21",-23166,202401,162,24,18,10210,210
"22",-23166,202401,162,24,13,21740,600
"23",-23166,202401,162,24,14,21740,520
"24",-23166,202401,162,24,15,21740,300
"25",-23166,202401,162,24,17,21720,530
"26",-23166,202401,162,24,18,21720,530
"27",-23166,202401,162,24,19,21720,350
"28",-23166,202401,162,24,20,21720,450
"29",-23168,202401,162,18,1,10130,360
"30",-23168,202401,162,18,2,10130,340
"31",-23168,202401,162,18,3,10130,430
"32",-23168,202401,162,18,1,10261,280
"33",-23168,202401,162,18,2,10261,340
"34",-23168,202401,162,18,3,10261,310
"35",-23168,202401,162,18,4,10261,200
"36",-23168,202401,162,18,1,21720,550
"37",-23168,202401,162,18,2,21720,520
"38",-23168,202401,162,18,3,21720,530
"39",-23168,202401,162,18,4,21720,580
"40",-23168,202401,162,18,1,21740,620
"41",-23168,202401,162,18,2,21740,540
"42",-23168,202401,162,18,3,21740,570
"43",-23168,202401,162,18,1,10210,330
"44",-23168,202401,162,18,2,10210,400
"45",-23168,202401,162,18,3,10210,300
"46",-23169,202401,162,19,6,21720,730
"47",-23169,202401,162,19,7,21720,530
"48",-23169,202401,162,19,5,21720,650
"49",-23169,202401,162,19,8,21720,140
"50",-23169,202401,162,19,4,21740,570
"51",-23169,202401,162,19,5,21740,620
"52",-23169,202401,162,19,6,21740,510
"53",-23169,202401,162,19,5,10261,260
"54",-23169,202401,162,19,6,10261,360
"55",-23169,202401,162,19,7,10261,150
"56",-23169,202401,162,19,8,10261,150
"57",-23169,202401,162,19,4,10210,350
"58",-23169,202401,162,19,5,10210,340
"59",-23169,202401,162,19,6,10210,320
"60",-23170,202401,162,20,9,10261,350
"61",-23170,202401,162,20,10,10261,310
"62",-23170,202401,162,20,12,10261,180
"63",-23170,202401,162,20,11,10261,260
"64",-23170,202401,162,20,9,21720,640
"65",-23170,202401,162,20,10,21720,830
"66",-23170,202401,162,20,11,21720,530
"67",-23170,202401,162,20,12,21720,630
"68",-23170,202401,162,20,7,21740,620
"69",-23170,202401,162,20,8,21740,550
"70",-23170,202401,162,20,9,21740,590
"71",-23170,202401,162,20,7,10210,330
"72",-23170,202401,162,20,8,10210,320
"73",-23170,202401,162,20,9,10210,310
"74",-23171,202401,162,21,10,10210,330
"75",-23171,202401,162,21,11,10210,170
"76",-23171,202401,162,21,12,10210,350
"77",-23171,202401,162,21,13,10261,230
"78",-23171,202401,162,21,14,10261,300
"79",-23171,202401,162,21,15,10261,200
"80",-23171,202401,162,21,16,10261,380
"81",-23179,202401,162,26,25,10261,320
"82",-23179,202401,162,26,26,10261,390
"83",-23179,202401,162,26,27,10261,310
"84",-23179,202401,162,26,28,10261,260
"85",-23179,202401,162,26,16,21740,550
"86",-23179,202401,162,26,17,21740,520
"87",-23179,202401,162,26,18,21740,570
"88",-23179,202401,162,26,19,21740,570
"89",-23179,202401,162,26,20,21740,580
"90",-23179,202401,162,26,21,21740,280
"91",-23179,202401,162,26,1,10110,530
"92",-23179,202401,162,26,2,10110,590
"93",-23179,202401,162,26,3,10110,250
"94",-23179,202401,162,26,19,10210,320
"95",-23179,202401,162,26,20,10210,370
"96",-23179,202401,162,26,21,10210,210
"97",-23179,202401,162,26,4,10130,420
"98",-23179,202401,162,26,5,10130,360
"99",-23179,202401,162,26,6,10130,320
"100",-23179,202401,162,26,21,21720,570
"101",-23179,202401,162,26,22,21720,490
"102",-23179,202401,162,26,23,21720,960
"103",-23179,202401,162,26,24,21720,460
"104",-23180,202401,162,27,4,10110,620
"105",-23180,202401,162,27,5,10110,440
"106",-23180,202401,162,27,6,10110,450
"107",-23180,202401,162,27,7,10130,360
"108",-23180,202401,162,27,8,10130,280
"109",-23180,202401,162,27,9,10130,360
"110",-23180,202401,162,27,29,10261,310
"111",-23180,202401,162,27,30,10261,260
"112",-23180,202401,162,27,31,10261,260
"113",-23180,202401,162,27,32,10261,240
"114",-23180,202401,162,27,22,10210,320
"115",-23180,202401,162,27,23,10210,370
"116",-23180,202401,162,27,24,10210,330
"117",-23180,202401,162,27,25,21720,580
"118",-23180,202401,162,27,26,21720,360
"119",-23180,202401,162,27,27,21720,490
"120",-23180,202401,162,27,28,21720,370
"121",-23180,202401,162,27,22,21740,570
"122",-23180,202401,162,27,23,21740,490
"123",-23180,202401,162,27,24,21740,640
"124",-23180,202401,162,27,25,21740,530
"125",-23180,202401,162,27,26,21740,490
"126",-23180,202401,162,27,1,21720,490
"127",-23180,202401,162,27,2,21720,350
"128",-23180,202401,162,27,3,21720,580
"129",-23180,202401,162,27,4,21720,350
"130",-23180,202401,162,27,5,21720,490
"131",-23180,202401,162,27,6,21720,500
"132",-23180,202401,162,27,7,21720,420
"133",-23180,202401,162,27,8,21720,360
"134",-23180,202401,162,27,9,21720,470
"135",-23180,202401,162,27,10,21720,420
"136",-23180,202401,162,27,11,21720,370
"137",-23180,202401,162,27,12,21720,380
"138",-23180,202401,162,27,13,21720,340
"139",-23180,202401,162,27,14,21720,480
"140",-23180,202401,162,27,15,21720,400
"141",-23180,202401,162,27,16,21720,470
"142",-23180,202401,162,27,17,21720,470
"143",-23180,202401,162,27,18,21720,490
"144",-23180,202401,162,27,19,21720,490
"145",-23180,202401,162,27,20,21720,340
"146",-23180,202401,162,27,21,21720,490
"147",-23180,202401,162,27,22,21720,380
"148",-23180,202401,162,27,23,21720,320
"149",-23180,202401,162,27,24,21720,570
"150",-23180,202401,162,27,25,21720,210
"151",-23185,202401,162,28,10,10130,380
"152",-23185,202401,162,28,11,10130,370
"153",-23185,202401,162,28,12,10130,240
"154",-23185,202401,162,28,25,10210,290
"155",-23185,202401,162,28,26,10210,400
"156",-23185,202401,162,28,27,10210,270
"157",-23185,202401,162,28,33,10261,280
"158",-23185,202401,162,28,34,10261,230
"159",-23185,202401,162,28,35,10261,310
"160",-23185,202401,162,28,36,10261,140
"161",-23185,202401,162,28,27,21740,490
"162",-23185,202401,162,28,28,21740,560
"163",-23185,202401,162,28,29,21740,610
"164",-23185,202401,162,28,29,21720,300
"165",-23185,202401,162,28,30,21720,490
"166",-23185,202401,162,28,31,21720,520
"167",-23185,202401,162,28,32,21720,520
"168",-23186,202401,162,29,30,21740,590
"169",-23186,202401,162,29,31,21740,590
"170",-23186,202401,162,29,32,21740,260
"171",-23186,202401,162,29,28,10210,360
"172",-23186,202401,162,29,29,10210,280
"173",-23186,202401,162,29,15,10130,240
"174",-23186,202401,162,29,30,10210,280
"175",-23186,202401,162,29,13,10130,360
"176",-23186,202401,162,29,14,10130,390
"177",-23186,202401,162,29,7,10110,430
"178",-23186,202401,162,29,8,10110,510
"179",-23186,202401,162,29,9,10110,630
"180",-23186,202401,162,29,33,21720,510
"181",-23186,202401,162,29,34,21720,400
"182",-23186,202401,162,29,35,21720,450
"183",-23186,202401,162,29,36,21720,350
"184",-23186,202401,162,29,37,10261,400
"185",-23186,202401,162,29,38,10261,310
"186",-23186,202401,162,29,39,10261,130
"187",-23186,202401,162,29,40,10261,290
"188",-23187,202401,162,30,41,10261,320
"189",-23187,202401,162,30,42,10261,240
"190",-23187,202401,162,30,43,10261,310
"191",-23187,202401,162,30,44,10261,320
"192",-23187,202401,162,30,31,10210,320
"193",-23187,202401,162,30,32,10210,350
"194",-23187,202401,162,30,33,10210,290
"195",-23187,202401,162,30,33,21740,570
"196",-23187,202401,162,30,34,21740,610
"197",-23187,202401,162,30,35,21740,240
"198",-23187,202401,162,30,37,21720,490
"199",-23187,202401,162,30,38,21720,410
"200",-23187,202401,162,30,39,21720,500
"201",-23187,202401,162,30,40,21720,260
"202",-23187,202401,162,30,41,21720,150
"203",-23187,202401,162,30,16,10130,340
"204",-23187,202401,162,30,17,10130,320
"205",-23187,202401,162,30,18,10130,380
"206",-23188,202401,162,31,19,10130,420
"207",-23188,202401,162,31,20,10130,410
"208",-23188,202401,162,31,21,10130,450
